Car type,Year,Color,Miles
dan,1976,Red,115990
Niisan,1987,White,53191
Tesla,1975,White,29785
Buick,1983,White,55907
Sedan,1981,Red,35115
Sedan,1997,Black,55969
Niisan,1984,Green,233686
Buick,2001,Red,23000
Buick,2003,White,27067
Niisan,1988,Red,217493
Niisan,1995,White,134773
Niisan,2018,Red,10481
Sedan,1976,Red,10892
Niisan,2009,Red,127440
Buick,1989,Red,206749
Niisan,2020,Green,69438
Buick,2009,White,211844
Sedan,2006,Red,657
Buick,1982,Red,116499
Sedan,1981,Black,68220
Niisan,2004,Black,243258
Buick,1983,Red,115447
Sedan,2004,Black,80079
Sedan,1989,Red,161065
Buick,2014,Black,3493
Niisan,1993,Red,10736
Niisan,2005,White,226247
Sedan,1989,Red,74262
Buick,2018,Red,226011
Tesla,2022,Red,159707
Sedan,2015,Red,167488
Buick,2010,White,142127
Sedan,2002,Black,118306
Tesla,1995,White,222550
Sedan,2020,Green,10707
Niisan,1973,Green,31555
Tesla,1977,Red,6049
Buick,1989,Red,71392
Sedan,2014,Red,228261
Tesla,1978,Black,247474
Sedan,1974,Black,155263
Tesla,1973,Green,41623
Sedan,2017,White,129708
Sedan,2022,Red,83416
Tesla,1993,Black,17202
Niisan,2009,Red,136649
Buick,1987,Red,215952
Sedan,1991,Red,166806
Niisan,1994,Black,175041
Tesla,1989,White,89974
Sedan,1995,Red,28775
Tesla,2011,Red,238617
Tesla,1993,Green,147105
Sedan,1985,Black,192763
Niisan,1998,Green,203879
Buick,1996,Black,75184
Sedan,2017,White,132986
Sedan,1976,Green,98040
Buick,1990,Red,245767
Tesla,2007,Green,183658
Sedan,1981,Black,213554
Buick,1983,Red,181354
Tesla,2022,Red,196413
Niisan,2022,White,187044
Niisan,1973,Green,22352
Tesla,1995,Red,198320
Sedan,1974,White,235872
Sedan,1980,Green,38510
Sedan,1979,Black,152842
Sedan,2020,White,240569
Niisan,1977,Red,247782
Niisan,1997,White,173654
Sedan,1992,Red,240678
Tesla,1998,Red,58803
Tesla,1995,Red,129734
Sedan,1993,Black,47658
Sedan,1980,Red,220395
Sedan,1987,Red,176205
Sedan,2009,Red,118566
Buick,1988,Black,223257
Sedan,2011,Black,47248
Tesla,1990,White,37301
Sedan,2009,Red,145469
Tesla,1981,Red,83794
Buick,2002,Green,71643
Buick,2007,Red,156410
Sedan,2017,Green,71457
Tesla,1987,Red,79122
Sedan,1990,Black,243698
Sedan,2002,Red,72730
Buick,1998,Green,232874
Buick,2000,Green,233977
Sedan,2012,White,182221
Tesla,1993,White,14243
Niisan,1991,White,172012
Niisan,1982,Black,220277
Sedan,2011,Red,32177
Tesla,1997,Green,15541
Sedan,2006,White,137871
Niisan,2019,Green,149396
Sedan,1985,Black,71365
Niisan,1985,Red,110301
Tesla,1974,Red,195962
Sedan,1989,Red,90277
Tesla,2014,Black,243823
Sedan,2012,Green,244154
Sedan,1996,Red,199154
Niisan,2004,Green,80422
Niisan,1979,Black,229111
Buick,1984,Red,4139
Sedan,2017,Red,41518
Sedan,1998,Red,230295
Sedan,1995,Red,27506
Niisan,2008,Black,171487
Sedan,2008,Red,233302
Sedan,2003,Black,137844
Tesla,2020,Red,129383
Tesla,1975,White,82931
Buick,1974,Red,30942
Niisan,1978,Black,46718
Tesla,2018,White,28061
Sedan,2014,White,53830
Tesla,1980,Black,49263
Sedan,1976,Black,223042
Sedan,1985,Green,147834
Tesla,1983,Green,199863
Tesla,2007,Red,48861
Sedan,1983,Green,200367
Sedan,2007,Green,73844
Sedan,1992,Green,238883
Tesla,1987,Red,203201
Sedan,2005,Black,238116
Sedan,1982,Red,130978
Sedan,1975,Red,237067
Niisan,1983,Red,90928
Sedan,1976,Black,43742
Sedan,1993,Red,136491
Tesla,1973,Red,101676
Sedan,1982,Green,100000
Niisan,1989,Black,79421
Tesla,2011,Black,38325
Niisan,2005,Black,129236
Buick,1974,Black,177209
Buick,1998,Green,32719
Sedan,1984,White,66342
Buick,1986,Red,66803
Sedan,2013,Green,166897
Buick,1986,Black,41874
Sedan,2000,White,34854
Buick,1984,Green,225286
Sedan,2008,Black,164286
Sedan,2016,Black,18037
Niisan,2000,Black,34666
Buick,1995,Red,187741
Tesla,1977,White,107414
Sedan,1991,Red,76790
Buick,1973,Red,91081
Sedan,2011,Green,197189
Tesla,2009,Black,85601
Buick,2001,Black,179477
Tesla,1984,Red,202490
Sedan,1979,White,176941
Sedan,2020,Red,162021
Sedan,1981,Black,243198
Sedan,2000,Black,196994
Sedan,2019,White,85908
Niisan,1999,Red,222280
Tesla,1999,Black,171586
Sedan,2021,Red,75161
Niisan,1982,Red,112184
Tesla,2007,Black,79905
Niisan,1981,Black,94446
Niisan,1973,Black,153702
Niisan,1987,Red,226264
Sedan,1992,Red,108806
Niisan,1977,Red,211153
Tesla,1977,Black,104589
Buick,1986,Red,224529
Niisan,1994,Green,216654
Tesla,2002,Red,111114
Buick,2015,Red,44359
Niisan,2020,Black,227140
Tesla,1980,Black,112560
Sedan,2002,Green,114598
Tesla,2011,Black,9914
Buick,2020,Black,14414
Niisan,1986,Red,76705
Tesla,1998,Black,31797
Buick,2018,Red,49163
Sedan,1979,Black,47917
Tesla,1988,Red,149160
Tesla,2007,Red,136852
Buick,2001,Green,243026
Buick,1995,Green,31105
Buick,2016,Red,177916
Tesla,1994,Red,66675
Sedan,1974,Red,205973
Buick,1996,Red,195655
Tesla,2008,White,25444
Tesla,1997,White,232176
Niisan,1989,Green,242650
Buick,2007,Green,148542
Niisan,1974,Black,197397
Sedan,1989,White,193546
Buick,2006,Red,199593
Sedan,1991,White,235797
Buick,1992,Red,49062
Sedan,2016,Green,247278
Niisan,1982,Black,165031
Sedan,1975,White,37243
Buick,1974,Green,91342
Buick,2020,Black,147324
Sedan,2011,Black,129387
Buick,1998,Black,38093
Sedan,1992,Red,81124
Tesla,1981,White,52721
Tesla,2000,Black,202236
Sedan,2008,Black,214346
Buick,2001,Black,73165
Buick,2012,Red,132270
Niisan,2021,White,88255
Niisan,1982,Red,123456
Sedan,1998,Green,240993
Buick,2013,Red,176767
Tesla,2010,Black,45308
Buick,1995,Green,109855
Buick,1987,White,4949
Sedan,1983,White,173907
Sedan,1981,Black,203594
Buick,1987,White,126869
Sedan,1977,White,103185
Buick,1983,Red,188185
Niisan,1993,Green,168686
Niisan,2017,Green,140895
Niisan,1997,White,228955
Tesla,1982,Red,226368
Sedan,1987,White,206910
Sedan,2018,Green,127566
Sedan,2011,Green,13720
Sedan,2018,Red,4470
Niisan,1978,Black,156627
Niisan,2001,Red,204046
Sedan,1982,White,242321
Sedan,1988,Green,223209
Sedan,1973,Red,166369
Tesla,1988,Green,46207
Niisan,1982,Red,197627
Niisan,2010,Red,177944
Tesla,1998,Red,171040
Sedan,1986,Red,192048
Niisan,2021,White,1133
Sedan,1996,Green,96225
Buick,2000,Red,210566
Niisan,2022,Black,224750
Tesla,2004,Black,235901
Tesla,1986,White,9155
Tesla,1999,White,26730
Niisan,1978,Black,211288
Sedan,2003,Black,112017
Buick,1997,Red,155981
Buick,2016,White,202657
Tesla,1983,Black,127069
Niisan,2014,Red,34561
Tesla,1983,Black,154525
Sedan,1986,Green,22499
Niisan,2012,Green,241899
Sedan,1996,Black,174179
Sedan,2008,Black,141281
Buick,1995,Black,172071
Niisan,2004,Black,273
Sedan,1998,Green,146813
Sedan,1992,White,93976
Sedan,2011,White,134401
Niisan,1979,Red,113100
Niisan,2009,Red,139782
Niisan,2007,Black,179408
Sedan,2013,Black,77386
Buick,1993,Black,75005
Sedan,1979,Red,201764
Buick,2000,Red,228360
Sedan,2020,Red,226471
Niisan,1987,Red,89393
Niisan,2016,White,107470
Buick,1985,Black,230719
Niisan,2004,Red,245039
Sedan,1995,White,231158
Buick,1994,Red,55435
Tesla,1990,Red,16738
Tesla,2015,Red,242793
Buick,1974,Red,54699
Sedan,1999,Black,204368
Sedan,1985,Black,231426
Buick,1978,White,73787
Niisan,1981,Black,13264
Niisan,1974,Green,146436
Sedan,2007,Green,112634
Buick,1985,Red,68940
Sedan,2003,Green,24657
Niisan,2008,Red,130142
Tesla,1993,Red,216012
Sedan,2003,Green,62161
Sedan,1989,Black,78590
Sedan,1976,Red,57589
Sedan,1977,Green,56500
Tesla,2008,Green,103666
Tesla,2010,Red,39557
Niisan,2005,Black,93326
Tesla,2017,Red,88786
Buick,1986,Green,36277
Tesla,1980,Green,216933
Niisan,2014,Red,135040
Niisan,1983,Green,249859
Sedan,2021,White,168225
Niisan,2002,White,135436
Buick,2015,Green,241459
Sedan,1978,Green,146135
Sedan,1999,White,53467
Niisan,2014,Green,130152
Sedan,1975,Black,74955
Sedan,2010,Green,235660
Buick,2003,Red,163356
Niisan,2022,Black,212169
Niisan,1978,Green,81600
Sedan,2020,Red,74961
Niisan,1986,Red,50600
Sedan,2004,Red,185293
Tesla,2009,Green,137833
Tesla,1984,Green,10307
Tesla,1973,Black,108230
Sedan,1988,Green,131601
Niisan,1986,White,198444
Sedan,1996,Green,5585
Tesla,1994,White,221998
Niisan,1998,Green,30278
Niisan,1992,Black,80398
Buick,2020,Red,27435
Niisan,1974,Green,128022
Sedan,2021,Red,60792
Sedan,2003,Red,60904
Tesla,2021,Blac
